batter,avg_accel,avg_sr_0_89,avg_sr_90_99,innings,win_rate,win_rate_pct
MEK Hussey,189.66666666666666,110.33333333333333,300.0,3,0.3333333333333333,33.3
SK Raina,166.32,110.92,277.21999999999997,5,0.2,20.0
Towhid Hridoy,163.33333333333334,92.23333333333333,255.5666666666667,3,0.3333333333333333,33.3
SE Marsh,143.4,95.56666666666666,238.96666666666667,6,0.16666666666666666,16.7
Yousuf Youhana,134.46666666666667,84.0,218.46666666666667,3,1.0,100.0
EC Joyce,116.5,79.325,195.825,4,0.5,50.0
RN ten Doeschate,114.3,89.7,203.9666666666667,3,1.0,100.0
A Gardner,107.59999999999998,115.73333333333333,223.33333333333334,3,1.0,100.0
EJG Morgan,104.05714285714285,103.51428571428572,207.57142857142858,14,0.5,50.0
Asif Khan,101.65,129.875,231.55,4,0.5,50.0
KP Pietersen,97.38888888888889,97.30000000000001,194.66666666666666,9,0.5,50.0
HT Tector,90.875,95.525,186.425,4,0.0,0.0
BA King,88.275,92.075,180.35,4,1.0,100.0
A Sutherland,88.075,104.025,192.075,4,1.0,100.0
KL Rahul,87.9375,97.5625,185.5,8,0.75,75.0
MS Dhoni,87.5,93.1,180.6076923076923,13,0.46153846153846156,46.2
H Kaur,85.31666666666668,102.96666666666665,188.3166666666667,6,1.0,100.0
AB de Villiers,83.19999999999999,123.46451612903226,206.6709677419355,31,0.3333333333333333,33.3
DJS Dottin,80.875,92.625,173.5,4,0.3333333333333333,33.3
Milind Kumar,76.46666666666665,118.0,194.4333333333333,3,1.0,100.0
DA Miller,75.95,111.9,187.85,8,0.5,50.0
Mohammad Yousuf,75.9,90.76,166.66,5,0.6,60.0
NR Sciver-Brunt,73.4,99.03333333333335,172.4333333333333,6,0.6666666666666666,66.7
Yuvraj Singh,73.20714285714287,100.64999999999999,173.85714285714286,14,0.5714285714285714,57.1
HC Knight,68.5,96.775,165.275,4,1.0,100.0
JI Rodrigues,66.56666666666666,100.10000000000001,166.66666666666666,3,1.0,100.0
DP Conway,65.75714285714285,106.24285714285715,171.98571428571427,7,0.8571428571428571,85.7
JH Kallis,64.83636363636363,83.43636363636364,148.27272727272728,11,0.36363636363636365,36.4
RD Berrington,64.7125,93.0375,157.7625,8,0.875,87.5
JC Buttler,63.949999999999996,139.15714285714287,203.1,14,0.6923076923076923,69.2
SPD Smith,63.73571428571428,98.75714285714285,162.5,14,0.6428571428571429,64.3
D Ramdin,61.275000000000006,100.975,162.25,4,0.5,50.0
SD Hope,60.92999999999999,88.275,149.22,20,0.6666666666666666,66.7
V Sibanda,59.675,71.325,130.975,4,0.0,0.0
A Symonds,58.949999999999996,95.68333333333334,154.63333333333333,6,0.6666666666666666,66.7
HH Gibbs,58.93636363636363,93.2,152.13636363636363,11,0.4,40.0
BL Mooney,58.5,103.72,162.21999999999997,5,1.0,100.0
CS MacLeod,57.56666666666666,90.35000000000001,147.91666666666666,6,0.6666666666666666,66.7
R Dravid,56.9,99.76666666666667,156.66666666666666,3,0.3333333333333333,33.3
TT Beaumont,56.869230769230775,86.66153846153846,143.53076923076924,13,0.9230769230769231,92.3
DPMD Jayawardene,54.728571428571435,98.08571428571429,152.81428571428572,14,0.5714285714285714,57.1
CM Edwards,53.925,79.05,132.95,4,0.25,25.0
MJ Clarke,51.91538461538461,94.84615384615384,146.75384615384615,13,0.5,50.0
A Flintoff,51.06666666666666,106.16666666666667,157.23333333333332,3,0.6666666666666666,66.7
Aaron Jones,50.53333333333334,96.13333333333333,146.66666666666666,3,0.3333333333333333,33.3
R Ravindra,50.1,111.8,161.92000000000002,5,0.6,60.0
Mahmudullah,49.675000000000004,84.25,133.925,4,0.5,50.0
AT Rayudu,49.325,95.82499999999999,145.15,4,0.25,25.0
CA Ingram,49.23333333333333,87.26666666666667,136.53333333333333,3,1.0,100.0
N Pooran,46.22500000000001,134.475,180.725,4,0.3333333333333333,33.3
